Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:00:0C,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:00:0D,FIBRONICS LTD.,false,MA-L,2015/11/17
00:00:0E,FUJITSU LIMITED,false,MA-L,2018/10/13
00:00:1B,"Novell, Inc.",false,MA-L,2016/04/27
00:00:23,ABB INDUSTRIAL SYSTEMS AB,false,MA-L,2015/11/17
00:00:31,"QPSX COMMUNICATIONS, LTD.",false,MA-L,2016/04/11
00:00:37,OXFORD METRICS LIMITED,false,MA-L,2015/11/17
00:00:3C,AUSPEX SYSTEMS INC.,false,MA-L,2015/11/17
00:00:3E,SIMPACT,false,MA-L,2015/11/17
00:00:3F,"SYNTREX, INC.",false,MA-L,2015/11/17
00:00:46,OLIVETTI NORTH AMERICA,false,MA-L,2015/11/17
00:00:49,"APRICOT COMPUTERS, LTD",false,MA-L,2015/11/17
00:00:4A,ADC CODENOLL TECHNOLOGY CORP.,false,MA-L,2015/11/17
00:00:4C,NEC Corporation,false,MA-L,2019/07/02
00:00:50,RADISYS CORPORATION,false,MA-L,2015/11/17
00:00:51,HOB ELECTRONIC GMBH & CO. KG,false,MA-L,2015/11/17
00:00:52,"Intrusion.com, Inc.",false,MA-L,2001/10/24
00:00:58,RACORE COMPUTER PRODUCTS INC.,false,MA-L,2015/11/17
00:00:5A,SysKonnect GmbH,false,MA-L,2015/11/17
00:00:5E,"ICANN, IANA Department",false,MA-L,2015/11/17
00:00:5F,"Sumitomo Electric Industries, Ltd",false,MA-L,2020/05/28
00:00:61,GATEWAY COMMUNICATIONS,false,MA-L,2015/11/17
00:00:64,Yokogawa Digital Computer Corporation,false,MA-L,2016/08/12
00:00:65,Network General Corporation,false,MA-L,2015/11/17
00:00:68,ROSEMOUNT CONTROLS,false,MA-L,2015/11/17
00:00:6D,"CRAY COMMUNICATIONS, LTD.",false,MA-L,2015/11/17
00:00:6E,Artisoft Inc.,false,MA-L,2015/11/17
00:00:6F,Madge Ltd.,false,MA-L,2015/11/17
00:00:74,RICOH COMPANY LTD.,false,MA-L,2015/11/17
00:00:79,NETWORTH INCORPORATED,false,MA-L,2015/11/17
00:00:7D,Oracle Corporation,false,MA-L,2015/11/17
00:00:7F,LINOTYPE-HELL AG,false,MA-L,2015/11/17
00:00:80,CRAY COMMUNICATIONS A/S,false,MA-L,2015/11/17
00:00:81,Bay Networks,false,MA-L,2015/11/17
00:00:8A,DATAHOUSE INFORMATION SYSTEMS,false,MA-L,2015/11/17
